,Title,Date,Month,Episode,id,painting_index,img_src,youtube_src,num_colors,colors,subject,color_hex,Black_Gesso,Bright_Red,Burnt_Umber,Cadmium_Yellow,Dark_Sienna,Indian_Red,Indian_Yellow,Liquid_Black,Liquid_Clear,Midnight_Black,Phthalo_Blue,Phthalo_Green,Prussian_Blue,Sap_Green,Titanium_White,Van_Dyke_Brown,Yellow_Ochre,Alizarin_Crimson,Aurora_Borealis,Barn,Beach,Boat,Bridge,Building,Bushes,Cabin,Cactus,Cirrus,Cliff,Clouds,Conifer,Cumulus,Deciduous,Diane_Andre,Dock,Farm,Fence,Fire,Flowers,Fog,Grass,Guest,Hills,Lake,Lakes,Lighthouse,Mill,Moon,Mountain,Mountains,Night,Ocean,Palm_Trees,Path,Person,Portrait,River,Rocks,Snow,Snowy_Mountain,Steve_Ross,Structure,Sun,Tree,Trees,Waterfall,Waves,Windmill,Winter
0,A Walk In The Woods,1983-01-11,January,S01E01,1,282,https://www.twoinchbrush.com/images/painting282.png,https://www.youtube.com/embed/oh5p5f5_-7A,8,"Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown","Bushes, Deciduous, Grass, River, Tree, Trees","#4E1500, #DB0000, #FFEC00, #102E3C, #021E44, #0A3410, #FFFFFF, #221B15",0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
1,Ebony Sunset,1983-01-18,January,S01E03,3,284,https://www.twoinchbrush.com/images/painting284.png,https://www.youtube.com/embed/UOziR7PoVco,9,"Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown","Cabin, Conifer, Fence, Mountain, Mountains, Structure, Sun, Tree, Trees, Winter","#4E1500, #000000, #DB0000, #FFEC00, #102E3C, #021E44, #0A3410, #FFFFFF, #221B15",1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1
2,Winter Mist,1983-01-25,January,S01E04,4,285,https://www.twoinchbrush.com/images/painting285.png,https://www.youtube.com/embed/0pwoixRikn4,3,"Prussian Blue, Titanium White, Van Dyke Brown","Bushes, Clouds, Conifer, Lake, Mountain, Snowy_Mountain, Tree, Trees","#021E44, #FFFFFF, #221B15",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
3,Quiet Stream,1983-02-01,February,S01E05,5,286,https://www.twoinchbrush.com/images/painting286.png,https://www.youtube.com/embed/DFSIQNjKRfk,8,"Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown","Deciduous, River, Rocks, Tree, Trees","#4E1500, #DB0000, #FFEC00, #102E3C, #021E44, #0A3410, #FFFFFF, #221B15",0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
4,Winter Moon,1983-02-08,February,S01E06,6,287,https://www.twoinchbrush.com/images/painting287.png,https://www.youtube.com/embed/loAzRUzx1wI,4,"Black Gesso, Prussian Blue, Titanium White, Van Dyke Brown","Cabin, Conifer, Lake, Moon, Mountain, Mountains, Night, Snow, Snowy_Mountain, Structure, Tree, Trees, Winter","#000000, #021E44, #FFFFFF, #221B15",1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1
5,Peaceful Valley,1983-02-22,February,S01E08,8,289,https://www.twoinchbrush.com/images/painting289.png,https://www.youtube.com/embed/kQlFwTOkYzg,8,"Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown","Bushes, Conifer, Lake, Mountain, Mountains, Tree, Trees","#4E1500, #DB0000, #FFEC00, #102E3C, #021E44, #0A3410, #FFFFFF, #221B15",0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
6,Seascape,1983-03-01,March,S01E09,9,290,https://www.twoinchbrush.com/images/painting290.png,https://www.youtube.com/embed/QxcS7p1VHyQ,8,"Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown","Beach, Clouds, Fence, Ocean","#4E1500, #DB0000, #FFEC00, #102E3C, #021E44, #0A3410, #FFFFFF, #221B15",0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Mountain Lake,1983-03-08,March,S01E10,10,291,https://www.twoinchbrush.com/images/painting291.png,https://www.youtube.com/embed/wDnLlywAL5I,8,"Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown","Bushes, Conifer, Deciduous, Lake, Mountain, Tree, Trees","#4E1500, #DB0000, #FFEC00, #102E3C, #021E44, #0A3410, #FFFFFF, #221B15",0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
8,Winter Glow,1983-03-15,March,S01E11,11,292,https://www.twoinchbrush.com/images/painting292.png,https://www.youtube.com/embed/Q03YvknOVe0,8,"Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown","Deciduous, Lake, Tree, Trees","#4E1500, #DB0000, #FFEC00, #102E3C, #021E44, #0A3410, #FFFFFF, #221B15",0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
9,Final Reflections,1983-03-29,March,S01E13,13,294,https://www.twoinchbrush.com/images/painting294.png,https://www.youtube.com/embed/IEQWfszfRlA,8,"Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown","Bushes, Conifer, Deciduous, Grass, Mountain, Snowy_Mountain, Tree, Trees","#4E1500, #DB0000, #FFEC00, #102E3C, #021E44, #0A3410, #FFFFFF, #221B15",0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
